Offene Stellen,Wirtschaftsabteilung,Quartal,job_vacancies
Job vacancies - total,55-56 Hotels and gastronomy,1997Q4,
Job vacancies - total,55-56 Hotels and gastronomy,1998Q1,
Job vacancies - total,55-56 Hotels and gastronomy,1998Q2,
Job vacancies - total,55-56 Hotels and gastronomy,1998Q3,
Job vacancies - total,55-56 Hotels and gastronomy,1998Q4,
Job vacancies - total,55-56 Hotels and gastronomy,1999Q1,
Job vacancies - total,55-56 Hotels and gastronomy,1999Q2,
Job vacancies - total,55-56 Hotels and gastronomy,1999Q3,
Job vacancies - total,55-56 Hotels and gastronomy,1999Q4,
Job vacancies - total,55-56 Hotels and gastronomy,2000Q1,
Job vacancies - total,55-56 Hotels and gastronomy,2000Q2,
Job vacancies - total,55-56 Hotels and gastronomy,2000Q3,
Job vacancies - total,55-56 Hotels and gastronomy,2000Q4,
Job vacancies - total,55-56 Hotels and gastronomy,2001Q1,
Job vacancies - total,55-56 Hotels and gastronomy,2001Q2,
Job vacancies - total,55-56 Hotels and gastronomy,2001Q3,
Job vacancies - total,55-56 Hotels and gastronomy,2001Q4,
Job vacancies - total,55-56 Hotels and gastronomy,2002Q1,
Job vacancies - total,55-56 Hotels and gastronomy,2002Q2,
Job vacancies - total,55-56 Hotels and gastronomy,2002Q3,
Job vacancies - total,55-56 Hotels and gastronomy,2002Q4,
Job vacancies - total,55-56 Hotels and gastronomy,2003Q1,
Job vacancies - total,55-56 Hotels and gastronomy,2003Q2,3958.0
Job vacancies - total,55-56 Hotels and gastronomy,2003Q3,3487.0
Job vacancies - total,55-56 Hotels and gastronomy,2003Q4,2646.0
Job vacancies - total,55-56 Hotels and gastronomy,2004Q1,3334.0
Job vacancies - total,55-56 Hotels and gastronomy,2004Q2,2352.0
Job vacancies - total,55-56 Hotels and gastronomy,2004Q3,2044.0
Job vacancies - total,55-56 Hotels and gastronomy,2004Q4,1932.0
Job vacancies - total,55-56 Hotels and gastronomy,2005Q1,2273.0
Job vacancies - total,55-56 Hotels and gastronomy,2005Q2,2051.0
Job vacancies - total,55-56 Hotels and gastronomy,2005Q3,2747.0
Job vacancies - total,55-56 Hotels and gastronomy,2005Q4,1850.0
Job vacancies - total,55-56 Hotels and gastronomy,2006Q1,3269.0
Job vacancies - total,55-56 Hotels and gastronomy,2006Q2,2890.0
Job vacancies - total,55-56 Hotels and gastronomy,2006Q3,3145.0
Job vacancies - total,55-56 Hotels and gastronomy,2006Q4,3659.0
Job vacancies - total,55-56 Hotels and gastronomy,2007Q1,4841.0
Job vacancies - total,55-56 Hotels and gastronomy,2007Q2,4708.0
Job vacancies - total,55-56 Hotels and gastronomy,2007Q3,4607.0
Job vacancies - total,55-56 Hotels and gastronomy,2007Q4,4137.0
Job vacancies - total,55-56 Hotels and gastronomy,2008Q1,4996.0
Job vacancies - total,55-56 Hotels and gastronomy,2008Q2,5305.0
Job vacancies - total,55-56 Hotels and gastronomy,2008Q3,5014.0
Job vacancies - total,55-56 Hotels and gastronomy,2008Q4,2803.0
Job vacancies - total,55-56 Hotels and gastronomy,2009Q1,4079.0
Job vacancies - total,55-56 Hotels and gastronomy,2009Q2,3178.0
Job vacancies - total,55-56 Hotels and gastronomy,2009Q3,2662.0
Job vacancies - total,55-56 Hotels and gastronomy,2009Q4,2979.0
Job vacancies - total,55-56 Hotels and gastronomy,2010Q1,3601.0
Job vacancies - total,55-56 Hotels and gastronomy,2010Q2,2271.0
Job vacancies - total,55-56 Hotels and gastronomy,2010Q3,3199.0
Job vacancies - total,55-56 Hotels and gastronomy,2010Q4,2783.0
Job vacancies - total,55-56 Hotels and gastronomy,2011Q1,4295.0
Job vacancies - total,55-56 Hotels and gastronomy,2011Q2,3180.0
Job vacancies - total,55-56 Hotels and gastronomy,2011Q3,2723.0
Job vacancies - total,55-56 Hotels and gastronomy,2011Q4,1904.0
Job vacancies - total,55-56 Hotels and gastronomy,2012Q1,3063.0
Job vacancies - total,55-56 Hotels and gastronomy,2012Q2,2216.0
Job vacancies - total,55-56 Hotels and gastronomy,2012Q3,1961.0
Job vacancies - total,55-56 Hotels and gastronomy,2012Q4,2493.0
Job vacancies - total,55-56 Hotels and gastronomy,2013Q1,3132.0
Job vacancies - total,55-56 Hotels and gastronomy,2013Q2,3294.0
Job vacancies - total,55-56 Hotels and gastronomy,2013Q3,3344.0
Job vacancies - total,55-56 Hotels and gastronomy,2013Q4,2301.0
Job vacancies - total,55-56 Hotels and gastronomy,2014Q1,3926.0
Job vacancies - total,55-56 Hotels and gastronomy,2014Q2,3085.0
Job vacancies - total,55-56 Hotels and gastronomy,2014Q3,3235.0
Job vacancies - total,55-56 Hotels and gastronomy,2014Q4,2588.0
Job vacancies - total,55-56 Hotels and gastronomy,2015Q1,3706.0
Job vacancies - total,55-56 Hotels and gastronomy,2015Q2,3016.0
Job vacancies - total,55-56 Hotels and gastronomy,2015Q3,2272.0
Job vacancies - total,55-56 Hotels and gastronomy,2015Q4,1775.0
Job vacancies - total,55-56 Hotels and gastronomy,2016Q1,2771.0
Job vacancies - total,55-56 Hotels and gastronomy,2016Q2,2942.0
Job vacancies - total,55-56 Hotels and gastronomy,2016Q3,2990.0
Job vacancies - total,55-56 Hotels and gastronomy,2016Q4,2120.0
Job vacancies - total,55-56 Hotels and gastronomy,2017Q1,3325.0
Job vacancies - total,55-56 Hotels and gastronomy,2017Q2,3235.0
Job vacancies - total,55-56 Hotels and gastronomy,2017Q3,3612.0
Job vacancies - total,55-56 Hotels and gastronomy,2017Q4,2927.0
Job vacancies - total,55-56 Hotels and gastronomy,2018Q1,3756.0
Job vacancies - total,55-56 Hotels and gastronomy,2018Q2,4499.0
Job vacancies - total,55-56 Hotels and gastronomy,2018Q3,4938.0
Job vacancies - total,55-56 Hotels and gastronomy,2018Q4,3956.0
Job vacancies - total,55-56 Hotels and gastronomy,2019Q1,5000.0
Job vacancies - total,55-56 Hotels and gastronomy,2019Q2,6691.0
Job vacancies - total,55-56 Hotels and gastronomy,2019Q3,6481.0
Job vacancies - total,55-56 Hotels and gastronomy,2019Q4,5035.0
Job vacancies - total,55-56 Hotels and gastronomy,2020Q1,2642.0
Job vacancies - total,55-56 Hotels and gastronomy,2020Q2,3007.0
Job vacancies - total,55-56 Hotels and gastronomy,2020Q3,3419.0
Job vacancies - total,55-56 Hotels and gastronomy,2020Q4,1230.0
Job vacancies - total,55-56 Hotels and gastronomy,2021Q1,3712.0
Job vacancies - total,55-56 Hotels and gastronomy,2021Q2,6284.0
Job vacancies - total,55-56 Hotels and gastronomy,2021Q3,7243.0
Job vacancies - total,55-56 Hotels and gastronomy,2021Q4,6414.0
Job vacancies - total,55-56 Hotels and gastronomy,2022Q1,12694.0
Job vacancies - total,55-56 Hotels and gastronomy,2022Q2,8393.0
Job vacancies - total,55-56 Hotels and gastronomy,2022Q3,7749.0
Job vacancies - total,55-56 Hotels and gastronomy,2022Q4,7797.0
Job vacancies - total,55-56 Hotels and gastronomy,2023Q1,7942.0
Job vacancies - total,55-56 Hotels and gastronomy,2023Q2,7131.0
Job vacancies - total,55-56 Hotels and gastronomy,2023Q3,6635.0
Job vacancies - total,55-56 Hotels and gastronomy,2023Q4,5334.0
Job vacancies - total,55-56 Hotels and gastronomy,2024Q1,5932.0
Job vacancies - total,55-56 Hotels and gastronomy,2024Q2,6423.0
Job vacancies - total,55-56 Hotels and gastronomy,2024Q3,5745.0
Job vacancies - total,55-56 Hotels and gastronomy,2024Q4,5381.0
Job vacancies - total,55-56 Hotels and gastronomy,2025Q1,5706.0
Job vacancies - total,55-56 Hotels and gastronomy,2025Q2,5566.0
Job vacancies - total,55-56 Hotels and gastronomy,2025Q3,4371.0
Job vacancies - total,55-56 Hotels and gastronomy,2025Q4,4846.0
Job vacancies - total,58-63 IT and communications,1992Q2,
Job vacancies - total,58-63 IT and communications,1992Q3,
Job vacancies - total,58-63 IT and communications,1992Q4,
Job vacancies - total,58-63 IT and communications,1993Q1,
Job vacancies - total,58-63 IT and communications,1993Q2,
Job vacancies - total,58-63 IT and communications,1993Q3,
Job vacancies - total,58-63 IT and communications,1993Q4,
Job vacancies - total,58-63 IT and communications,1994Q1,
Job vacancies - total,58-63 IT and communications,1994Q2,
Job vacancies - total,58-63 IT and communications,1994Q3,
Job vacancies - total,58-63 IT and communications,1994Q4,
Job vacancies - total,58-63 IT and communications,1995Q1,
Job vacancies - total,58-63 IT and communications,1995Q2,
Job vacancies - total,58-63 IT and communications,1995Q3,
Job vacancies - total,58-63 IT and communications,1995Q4,
Job vacancies - total,58-63 IT and communications,1996Q1,
Job vacancies - total,58-63 IT and communications,1996Q2,
Job vacancies - total,58-63 IT and communications,1996Q3,
Job vacancies - total,58-63 IT and communications,1996Q4,
Job vacancies - total,58-63 IT and communications,1997Q1,
Job vacancies - total,58-63 IT and communications,1997Q2,
Job vacancies - total,58-63 IT and communications,1997Q3,
Job vacancies - total,58-63 IT and communications,1997Q4,
Job vacancies - total,58-63 IT and communications,1998Q1,
Job vacancies - total,58-63 IT and communications,1998Q2,
Job vacancies - total,58-63 IT and communications,1998Q3,
Job vacancies - total,58-63 IT and communications,1998Q4,
Job vacancies - total,58-63 IT and communications,1999Q1,
Job vacancies - total,58-63 IT and communications,1999Q2,
Job vacancies - total,58-63 IT and communications,1999Q3,
Job vacancies - total,58-63 IT and communications,1999Q4,
Job vacancies - total,58-63 IT and communications,2000Q1,
Job vacancies - total,58-63 IT and communications,2000Q2,
Job vacancies - total,58-63 IT and communications,2000Q3,
Job vacancies - total,58-63 IT and communications,2000Q4,
Job vacancies - total,58-63 IT and communications,2001Q1,
Job vacancies - total,58-63 IT and communications,2001Q2,
Job vacancies - total,58-63 IT and communications,2001Q3,
Job vacancies - total,58-63 IT and communications,2001Q4,
Job vacancies - total,58-63 IT and communications,2002Q1,
Job vacancies - total,58-63 IT and communications,2002Q2,
Job vacancies - total,58-63 IT and communications,2002Q3,
Job vacancies - total,58-63 IT and communications,2002Q4,
Job vacancies - total,58-63 IT and communications,2003Q1,
Job vacancies - total,58-63 IT and communications,2003Q2,978.0
Job vacancies - total,58-63 IT and communications,2003Q3,770.0
Job vacancies - total,58-63 IT and communications,2003Q4,800.0
Job vacancies - total,58-63 IT and communications,2004Q1,1571.0
Job vacancies - total,58-63 IT and communications,2004Q2,1453.0
Job vacancies - total,58-63 IT and communications,2004Q3,1519.0
Job vacancies - total,58-63 IT and communications,2004Q4,1574.0
Job vacancies - total,58-63 IT and communications,2005Q1,1848.0
Job vacancies - total,58-63 IT and communications,2005Q2,1530.0
Job vacancies - total,58-63 IT and communications,2005Q3,1499.0
Job vacancies - total,58-63 IT and communications,2005Q4,1781.0
Job vacancies - total,58-63 IT and communications,2006Q1,2501.0
Job vacancies - total,58-63 IT and communications,2006Q2,2408.0
Job vacancies - total,58-63 IT and communications,2006Q3,2521.0
Job vacancies - total,58-63 IT and communications,2006Q4,3558.0
Job vacancies - total,58-63 IT and communications,2007Q1,3444.0
Job vacancies - total,58-63 IT and communications,2007Q2,3784.0
Job vacancies - total,58-63 IT and communications,2007Q3,3916.0
Job vacancies - total,58-63 IT and communications,2007Q4,4034.0
Job vacancies - total,58-63 IT and communications,2008Q1,4380.0
Job vacancies - total,58-63 IT and communications,2008Q2,4125.0
Job vacancies - total,58-63 IT and communications,2008Q3,4014.0
Job vacancies - total,58-63 IT and communications,2008Q4,2852.0
Job vacancies - total,58-63 IT and communications,2009Q1,2600.0
Job vacancies - total,58-63 IT and communications,2009Q2,2235.0
Job vacancies - total,58-63 IT and communications,2009Q3,2108.0
Job vacancies - total,58-63 IT and communications,2009Q4,2311.0
Job vacancies - total,58-63 IT and communications,2010Q1,2425.0
Job vacancies - total,58-63 IT and communications,2010Q2,2646.0
Job vacancies - total,58-63 IT and communications,2010Q3,3017.0
Job vacancies - total,58-63 IT and communications,2010Q4,3306.0
Job vacancies - total,58-63 IT and communications,2011Q1,3539.0
Job vacancies - total,58-63 IT and communications,2011Q2,3573.0
Job vacancies - total,58-63 IT and communications,2011Q3,2933.0
Job vacancies - total,58-63 IT and communications,2011Q4,2801.0
Job vacancies - total,58-63 IT and communications,2012Q1,2641.0
Job vacancies - total,58-63 IT and communications,2012Q2,2361.0
Job vacancies - total,58-63 IT and communications,2012Q3,2658.0
Job vacancies - total,58-63 IT and communications,2012Q4,2699.0
Job vacancies - total,58-63 IT and communications,2013Q1,3069.0
Job vacancies - total,58-63 IT and communications,2013Q2,3535.0
Job vacancies - total,58-63 IT and communications,2013Q3,3964.0
Job vacancies - total,58-63 IT and communications,2013Q4,3645.0
Job vacancies - total,58-63 IT and communications,2014Q1,4044.0
Job vacancies - total,58-63 IT and communications,2014Q2,3413.0
Job vacancies - total,58-63 IT and communications,2014Q3,3437.0
Job vacancies - total,58-63 IT and communications,2014Q4,3489.0
Job vacancies - total,58-63 IT and communications,2015Q1,3566.0
Job vacancies - total,58-63 IT and communications,2015Q2,3600.0
Job vacancies - total,58-63 IT and communications,2015Q3,3661.0
Job vacancies - total,58-63 IT and communications,2015Q4,3764.0
Job vacancies - total,58-63 IT and communications,2016Q1,4306.0
Job vacancies - total,58-63 IT and communications,2016Q2,4384.0
Job vacancies - total,58-63 IT and communications,2016Q3,3641.0
Job vacancies - total,58-63 IT and communications,2016Q4,4491.0
Job vacancies - total,58-63 IT and communications,2017Q1,4358.0
Job vacancies - total,58-63 IT and communications,2017Q2,4167.0
Job vacancies - total,58-63 IT and communications,2017Q3,3428.0
Job vacancies - total,58-63 IT and communications,2017Q4,3897.0
Job vacancies - total,58-63 IT and communications,2018Q1,3984.0
Job vacancies - total,58-63 IT and communications,2018Q2,5623.0
Job vacancies - total,58-63 IT and communications,2018Q3,4885.0
Job vacancies - total,58-63 IT and communications,2018Q4,5508.0
Job vacancies - total,58-63 IT and communications,2019Q1,5641.0
Job vacancies - total,58-63 IT and communications,2019Q2,5665.0
Job vacancies - total,58-63 IT and communications,2019Q3,5811.0
Job vacancies - total,58-63 IT and communications,2019Q4,5985.0
Job vacancies - total,58-63 IT and communications,2020Q1,5596.0
Job vacancies - total,58-63 IT and communications,2020Q2,4624.0
Job vacancies - total,58-63 IT and communications,2020Q3,4531.0
Job vacancies - total,58-63 IT and communications,2020Q4,4572.0
Job vacancies - total,58-63 IT and communications,2021Q1,4483.0
Job vacancies - total,58-63 IT and communications,2021Q2,5068.0
Job vacancies - total,58-63 IT and communications,2021Q3,6046.0
Job vacancies - total,58-63 IT and communications,2021Q4,6613.0
Job vacancies - total,58-63 IT and communications,2022Q1,6746.0
Job vacancies - total,58-63 IT and communications,2022Q2,8211.0
Job vacancies - total,58-63 IT and communications,2022Q3,7340.0
Job vacancies - total,58-63 IT and communications,2022Q4,7010.0
Job vacancies - total,58-63 IT and communications,2023Q1,6565.0
Job vacancies - total,58-63 IT and communications,2023Q2,5876.0
Job vacancies - total,58-63 IT and communications,2023Q3,5886.0
Job vacancies - total,58-63 IT and communications,2023Q4,5084.0
Job vacancies - total,58-63 IT and communications,2024Q1,6458.0
Job vacancies - total,58-63 IT and communications,2024Q2,5533.0
Job vacancies - total,58-63 IT and communications,2024Q3,4410.0
Job vacancies - total,58-63 IT and communications,2024Q4,4418.0
Job vacancies - total,58-63 IT and communications,2025Q1,4802.0
Job vacancies - total,58-63 IT and communications,2025Q2,4518.0
Job vacancies - total,58-63 IT and communications,2025Q3,4579.0
Job vacancies - total,58-63 IT and communications,2025Q4,4362.0
Job vacancies - total,62-63 IT and other information services,1992Q2,
Job vacancies - total,62-63 IT and other information services,1992Q3,
Job vacancies - total,62-63 IT and other information services,1992Q4,
Job vacancies - total,62-63 IT and other information services,1993Q1,
Job vacancies - total,62-63 IT and other information services,1993Q2,
Job vacancies - total,62-63 IT and other information services,1993Q3,
Job vacancies - total,62-63 IT and other information services,1993Q4,
Job vacancies - total,62-63 IT and other information services,1994Q1,
Job vacancies - total,62-63 IT and other information services,1994Q2,
Job vacancies - total,62-63 IT and other information services,1994Q3,
Job vacancies - total,62-63 IT and other information services,1994Q4,
Job vacancies - total,62-63 IT and other information services,1995Q1,
Job vacancies - total,62-63 IT and other information services,1995Q2,
Job vacancies - total,62-63 IT and other information services,1995Q3,
Job vacancies - total,62-63 IT and other information services,1995Q4,
Job vacancies - total,62-63 IT and other information services,1996Q1,
Job vacancies - total,62-63 IT and other information services,1996Q2,
Job vacancies - total,62-63 IT and other information services,1996Q3,
Job vacancies - total,62-63 IT and other information services,1996Q4,
Job vacancies - total,62-63 IT and other information services,1997Q1,
Job vacancies - total,62-63 IT and other information services,1997Q2,
Job vacancies - total,62-63 IT and other information services,1997Q3,
Job vacancies - total,62-63 IT and other information services,1997Q4,
Job vacancies - total,62-63 IT and other information services,1998Q1,
Job vacancies - total,62-63 IT and other information services,1998Q2,
Job vacancies - total,62-63 IT and other information services,1998Q3,
Job vacancies - total,62-63 IT and other information services,1998Q4,
Job vacancies - total,62-63 IT and other information services,1999Q1,
Job vacancies - total,62-63 IT and other information services,1999Q2,
Job vacancies - total,62-63 IT and other information services,1999Q3,
Job vacancies - total,62-63 IT and other information services,1999Q4,
Job vacancies - total,62-63 IT and other information services,2000Q1,
Job vacancies - total,62-63 IT and other information services,2000Q2,
Job vacancies - total,62-63 IT and other information services,2000Q3,
Job vacancies - total,62-63 IT and other information services,2000Q4,
Job vacancies - total,62-63 IT and other information services,2001Q1,
Job vacancies - total,62-63 IT and other information services,2001Q2,
Job vacancies - total,62-63 IT and other information services,2001Q3,
Job vacancies - total,62-63 IT and other information services,2001Q4,
Job vacancies - total,62-63 IT and other information services,2002Q1,
Job vacancies - total,62-63 IT and other information services,2002Q2,
Job vacancies - total,62-63 IT and other information services,2002Q3,
Job vacancies - total,62-63 IT and other information services,2002Q4,
Job vacancies - total,62-63 IT and other information services,2003Q1,
Job vacancies - total,62-63 IT and other information services,2003Q2,783.0
Job vacancies - total,62-63 IT and other information services,2003Q3,611.0
Job vacancies - total,62-63 IT and other information services,2003Q4,604.0
Job vacancies - total,62-63 IT and other information services,2004Q1,1393.0
Job vacancies - total,62-63 IT and other information services,2004Q2,1263.0
Job vacancies - total,62-63 IT and other information services,2004Q3,1312.0
Job vacancies - total,62-63 IT and other information services,2004Q4,1381.0
Job vacancies - total,62-63 IT and other information services,2005Q1,1611.0
Job vacancies - total,62-63 IT and other information services,2005Q2,1317.0
Job vacancies - total,62-63 IT and other information services,2005Q3,1310.0
Job vacancies - total,62-63 IT and other information services,2005Q4,1561.0
Job vacancies - total,62-63 IT and other information services,2006Q1,2233.0
Job vacancies - total,62-63 IT and other information services,2006Q2,2145.0
Job vacancies - total,62-63 IT and other information services,2006Q3,2261.0
Job vacancies - total,62-63 IT and other information services,2006Q4,3327.0
Job vacancies - total,62-63 IT and other information services,2007Q1,3094.0
Job vacancies - total,62-63 IT and other information services,2007Q2,3411.0
Job vacancies - total,62-63 IT and other information services,2007Q3,3397.0
Job vacancies - total,62-63 IT and other information services,2007Q4,3669.0
Job vacancies - total,62-63 IT and other information services,2008Q1,3875.0
Job vacancies - total,62-63 IT and other information services,2008Q2,3730.0
Job vacancies - total,62-63 IT and other information services,2008Q3,3599.0
Job vacancies - total,62-63 IT and other information services,2008Q4,2512.0
Job vacancies - total,62-63 IT and other information services,2009Q1,2390.0
Job vacancies - total,62-63 IT and other information services,2009Q2,2022.0
Job vacancies - total,62-63 IT and other information services,2009Q3,1875.0
Job vacancies - total,62-63 IT and other information services,2009Q4,1960.0
Job vacancies - total,62-63 IT and other information services,2010Q1,2072.0
Job vacancies - total,62-63 IT and other information services,2010Q2,2176.0
Job vacancies - total,62-63 IT and other information services,2010Q3,2540.0
Job vacancies - total,62-63 IT and other information services,2010Q4,2615.0
Job vacancies - total,62-63 IT and other information services,2011Q1,2583.0
Job vacancies - total,62-63 IT and other information services,2011Q2,2744.0
Job vacancies - total,62-63 IT and other information services,2011Q3,2152.0
Job vacancies - total,62-63 IT and other information services,2011Q4,2157.0
Job vacancies - total,62-63 IT and other information services,2012Q1,2023.0
Job vacancies - total,62-63 IT and other information services,2012Q2,1871.0
Job vacancies - total,62-63 IT and other information services,2012Q3,2115.0
Job vacancies - total,62-63 IT and other information services,2012Q4,2022.0
Job vacancies - total,62-63 IT and other information services,2013Q1,2233.0
Job vacancies - total,62-63 IT and other information services,2013Q2,2826.0
Job vacancies - total,62-63 IT and other information services,2013Q3,3215.0
Job vacancies - total,62-63 IT and other information services,2013Q4,2696.0
Job vacancies - total,62-63 IT and other information services,2014Q1,3218.0
Job vacancies - total,62-63 IT and other information services,2014Q2,2450.0
Job vacancies - total,62-63 IT and other information services,2014Q3,2559.0
Job vacancies - total,62-63 IT and other information services,2014Q4,2541.0
Job vacancies - total,62-63 IT and other information services,2015Q1,2676.0
Job vacancies - total,62-63 IT and other information services,2015Q2,2744.0
Job vacancies - total,62-63 IT and other information services,2015Q3,3008.0
Job vacancies - total,62-63 IT and other information services,2015Q4,2975.0
Job vacancies - total,62-63 IT and other information services,2016Q1,3636.0
Job vacancies - total,62-63 IT and other information services,2016Q2,3763.0
Job vacancies - total,62-63 IT and other information services,2016Q3,2952.0
Job vacancies - total,62-63 IT and other information services,2016Q4,3739.0
Job vacancies - total,62-63 IT and other information services,2017Q1,3532.0
Job vacancies - total,62-63 IT and other information services,2017Q2,3401.0
Job vacancies - total,62-63 IT and other information services,2017Q3,2699.0
Job vacancies - total,62-63 IT and other information services,2017Q4,3153.0
Job vacancies - total,62-63 IT and other information services,2018Q1,3240.0
Job vacancies - total,62-63 IT and other information services,2018Q2,4747.0
Job vacancies - total,62-63 IT and other information services,2018Q3,4022.0
Job vacancies - total,62-63 IT and other information services,2018Q4,4487.0
Job vacancies - total,62-63 IT and other information services,2019Q1,4683.0
Job vacancies - total,62-63 IT and other information services,2019Q2,4594.0
Job vacancies - total,62-63 IT and other information services,2019Q3,5013.0
Job vacancies - total,62-63 IT and other information services,2019Q4,5134.0
Job vacancies - total,62-63 IT and other information services,2020Q1,4764.0
Job vacancies - total,62-63 IT and other information services,2020Q2,3791.0
Job vacancies - total,62-63 IT and other information services,2020Q3,3899.0
Job vacancies - total,62-63 IT and other information services,2020Q4,3935.0
Job vacancies - total,62-63 IT and other information services,2021Q1,3736.0
Job vacancies - total,62-63 IT and other information services,2021Q2,4296.0
Job vacancies - total,62-63 IT and other information services,2021Q3,5167.0
Job vacancies - total,62-63 IT and other information services,2021Q4,5380.0
Job vacancies - total,62-63 IT and other information services,2022Q1,5806.0
Job vacancies - total,62-63 IT and other information services,2022Q2,6949.0
Job vacancies - total,62-63 IT and other information services,2022Q3,6136.0
Job vacancies - total,62-63 IT and other information services,2022Q4,6102.0
Job vacancies - total,62-63 IT and other information services,2023Q1,5575.0
Job vacancies - total,62-63 IT and other information services,2023Q2,5077.0
Job vacancies - total,62-63 IT and other information services,2023Q3,5093.0
Job vacancies - total,62-63 IT and other information services,2023Q4,4252.0
Job vacancies - total,62-63 IT and other information services,2024Q1,5534.0
Job vacancies - total,62-63 IT and other information services,2024Q2,4787.0
Job vacancies - total,62-63 IT and other information services,2024Q3,3716.0
Job vacancies - total,62-63 IT and other information services,2024Q4,3808.0
Job vacancies - total,62-63 IT and other information services,2025Q1,4199.0
Job vacancies - total,62-63 IT and other information services,2025Q2,3828.0
Job vacancies - total,62-63 IT and other information services,2025Q3,3953.0
Job vacancies - total,62-63 IT and other information services,2025Q4,3825.0
Job vacancies - total,64-66 Finance and assurance,1992Q2,
Job vacancies - total,64-66 Finance and assurance,1992Q3,
Job vacancies - total,64-66 Finance and assurance,1992Q4,
Job vacancies - total,64-66 Finance and assurance,1993Q1,
Job vacancies - total,64-66 Finance and assurance,1993Q2,
Job vacancies - total,64-66 Finance and assurance,1993Q3,
Job vacancies - total,64-66 Finance and assurance,1993Q4,
Job vacancies - total,64-66 Finance and assurance,1994Q1,
Job vacancies - total,64-66 Finance and assurance,1994Q2,
Job vacancies - total,64-66 Finance and assurance,1994Q3,
Job vacancies - total,64-66 Finance and assurance,1994Q4,
Job vacancies - total,64-66 Finance and assurance,1995Q1,
Job vacancies - total,64-66 Finance and assurance,1995Q2,
Job vacancies - total,64-66 Finance and assurance,1995Q3,
Job vacancies - total,64-66 Finance and assurance,1995Q4,
Job vacancies - total,64-66 Finance and assurance,1996Q1,
Job vacancies - total,64-66 Finance and assurance,1996Q2,
Job vacancies - total,64-66 Finance and assurance,1996Q3,
Job vacancies - total,64-66 Finance and assurance,1996Q4,
Job vacancies - total,64-66 Finance and assurance,1997Q1,
Job vacancies - total,64-66 Finance and assurance,1997Q2,
Job vacancies - total,64-66 Finance and assurance,1997Q3,
Job vacancies - total,64-66 Finance and assurance,1997Q4,
Job vacancies - total,64-66 Finance and assurance,1998Q1,
Job vacancies - total,64-66 Finance and assurance,1998Q2,
Job vacancies - total,64-66 Finance and assurance,1998Q3,
Job vacancies - total,64-66 Finance and assurance,1998Q4,
Job vacancies - total,64-66 Finance and assurance,1999Q1,
Job vacancies - total,64-66 Finance and assurance,1999Q2,
Job vacancies - total,64-66 Finance and assurance,1999Q3,
Job vacancies - total,64-66 Finance and assurance,1999Q4,
Job vacancies - total,64-66 Finance and assurance,2000Q1,
Job vacancies - total,64-66 Finance and assurance,2000Q2,
Job vacancies - total,64-66 Finance and assurance,2000Q3,
Job vacancies - total,64-66 Finance and assurance,2000Q4,
Job vacancies - total,64-66 Finance and assurance,2001Q1,
Job vacancies - total,64-66 Finance and assurance,2001Q2,
Job vacancies - total,64-66 Finance and assurance,2001Q3,
Job vacancies - total,64-66 Finance and assurance,2001Q4,
Job vacancies - total,64-66 Finance and assurance,2002Q1,
Job vacancies - total,64-66 Finance and assurance,2002Q2,
Job vacancies - total,64-66 Finance and assurance,2002Q3,
Job vacancies - total,64-66 Finance and assurance,2002Q4,
Job vacancies - total,64-66 Finance and assurance,2003Q1,
Job vacancies - total,64-66 Finance and assurance,2003Q2,1507.0
Job vacancies - total,64-66 Finance and assurance,2003Q3,1971.0
Job vacancies - total,64-66 Finance and assurance,2003Q4,1715.0
Job vacancies - total,64-66 Finance and assurance,2004Q1,3041.0
Job vacancies - total,64-66 Finance and assurance,2004Q2,3118.0
Job vacancies - total,64-66 Finance and assurance,2004Q3,3010.0
Job vacancies - total,64-66 Finance and assurance,2004Q4,2905.0
Job vacancies - total,64-66 Finance and assurance,2005Q1,3379.0
Job vacancies - total,64-66 Finance and assurance,2005Q2,3405.0
Job vacancies - total,64-66 Finance and assurance,2005Q3,3544.0
Job vacancies - total,64-66 Finance and assurance,2005Q4,4384.0
Job vacancies - total,64-66 Finance and assurance,2006Q1,4911.0
Job vacancies - total,64-66 Finance and assurance,2006Q2,5106.0
Job vacancies - total,64-66 Finance and assurance,2006Q3,5100.0
Job vacancies - total,64-66 Finance and assurance,2006Q4,4884.0
Job vacancies - total,64-66 Finance and assurance,2007Q1,5120.0
Job vacancies - total,64-66 Finance and assurance,2007Q2,5324.0
Job vacancies - total,64-66 Finance and assurance,2007Q3,5164.0
Job vacancies - total,64-66 Finance and assurance,2007Q4,5212.0
Job vacancies - total,64-66 Finance and assurance,2008Q1,6010.0
Job vacancies - total,64-66 Finance and assurance,2008Q2,5097.0
Job vacancies - total,64-66 Finance and assurance,2008Q3,4512.0
Job vacancies - total,64-66 Finance and assurance,2008Q4,3424.0
Job vacancies - total,64-66 Finance and assurance,2009Q1,3424.0
Job vacancies - total,64-66 Finance and assurance,2009Q2,3279.0
Job vacancies - total,64-66 Finance and assurance,2009Q3,3719.0
Job vacancies - total,64-66 Finance and assurance,2009Q4,4164.0
Job vacancies - total,64-66 Finance and assurance,2010Q1,4587.0
Job vacancies - total,64-66 Finance and assurance,2010Q2,4535.0
Job vacancies - total,64-66 Finance and assurance,2010Q3,4905.0
